Id,Elevation,Aspect,Slope,Horizontal_Distance_To_Hydrology,Vertical_Distance_To_Hydrology,Horizontal_Distance_To_Roadways,Hillshade_9am,Hillshade_Noon,Hillshade_3pm,Horizontal_Distance_To_Fire_Points,Cover_Type
1699,2920,94,28,360,-47,446,250,186,44,2028,5
1700,2889,90,28,360,-10,390,249,184,46,2021,5
1701,2807,73,29,242,161,258,239,171,42,2011,5
1702,3221,194,14,90,18,2772,217,251,164,2550,7
1703,3198,162,14,192,-11,2213,233,243,138,2864,7
1704,3191,156,16,228,53,2154,236,240,129,2821,7
1705,2903,97,27,390,-64,430,251,190,49,1994,5
1706,2858,90,28,335,217,350,249,184,45,1986,5
1707,2842,87,28,309,199,324,248,181,43,1984,5
1708,2719,64,24,124,70,134,233,184,70,1984,5
1709,3251,282,7,268,48,4494,201,241,179,661,1
1710,3217,162,6,60,0,2954,226,242,149,2370,7
1711,3214,166,9,60,0,2895,228,244,148,2430,7
1712,3213,198,14,60,13,2777,215,251,168,2550,7
1713,3227,213,14,85,25,2689,207,252,179,2640,7
1714,3225,138,17,42,16,2542,243,232,112,2790,7
1715,2871,94,26,376,230,391,250,191,53,1958,5
1716,2797,86,28,255,136,277,247,182,46,1950,5
1717,3298,18,13,418,87,5120,209,212,138,277,1
1718,3294,25,10,362,91,5075,215,219,139,218,1
1719,3240,158,4,234,11,3492,225,240,150,1831,7
1720,3215,121,1,30,-1,2989,221,237,152,2341,7
1721,3223,183,16,60,26,2665,222,249,155,2671,7
1722,2856,91,28,366,210,384,249,185,46,1926,5
1723,2782,88,26,255,129,268,248,186,51,1920,5
1724,2786,49,16,240,97,1431,225,205,110,2190,2
1725,2747,329,19,201,71,878,171,214,181,2213,2
1726,3220,56,3,30,2,3083,222,232,146,2252,7
1727,3218,45,4,0,0,3054,221,231,146,2282,7
1728,3206,204,18,30,4,2730,207,253,176,2612,7
1729,3153,159,14,120,15,2088,234,242,136,2694,7
1730,2839,91,27,361,185,382,249,186,48,1894,5
1731,2782,92,26,268,129,283,249,191,54,1890,5
1732,2755,87,24,216,106,228,247,194,63,1891,5
1733,2729,84,22,162,73,175,245,197,70,1894,5
1734,2718,85,19,134,62,150,244,203,81,1896,5
1735,3228,141,3,42,2,3295,225,238,149,2044,7
1736,3195,138,11,30,-7,2854,237,236,129,2493,7
1737,3161,182,15,124,23,2329,223,249,154,2850,7
1738,3068,335,8,150,6,1442,202,230,166,2247,2
1739,3055,80,13,120,15,1237,237,217,109,2136,2
1740,3043,48,7,30,3,1150,223,224,136,2093,2
1741,2931,96,23,446,-76,541,249,200,67,1884,5
1742,2887,96,28,450,241,469,251,187,44,1872,5
1743,2610,94,25,283,132,295,250,194,57,1860,5
1744,2767,93,24,256,118,268,249,196,63,1860,5
1745,2742,91,23,201,86,210,248,198,67,1862,5
1746,3316,66,6,466,82,3803,227,227,135,1537,7
1747,3233,111,3,134,4,3448,225,236,145,1896,7
1748,3231,127,2,85,2,3389,223,237,145,1956,7
1749,3192,175,17,30,-9,2656,227,247,145,2704,7
1750,3148,163,13,90,10,2185,232,243,140,2718,7
1751,3095,92,8,30,5,1771,233,227,126,2424,2
1752,3045,50,7,30,5,1158,224,224,135,2067,2
1753,2941,105,20,450,-72,582,249,211,81,1860,5
1754,2794,92,26,323,145,330,250,189,51,1830,5
1755,2707,92,20,120,54,120,247,204,77,1839,5
1756,3250,86,23,182,47,4731,246,194,65,234,1
1757,3213,99,12,30,7,2955,240,223,112,2407,7
1758,3183,191,14,60,-10,2721,218,250,162,2646,7
1759,3184,181,15,60,-12,2692,224,248,153,2676,7
1760,3165,136,15,108,-41,2486,242,233,117,2886,7
1761,3154,144,11,120,18,2427,236,238,132,2881,7
1762,3146,160,11,67,8,2338,231,242,141,2812,7
1763,2912,107,26,511,-100,553,253,199,57,1820,5
1764,2850,99,26,443,189,451,252,193,53,1806,5
1765,2823,96,25,390,170,391,250,196,59,1802,5
1766,2707,87,21,120,71,124,246,200,73,1809,5
1767,2859,53,20,379,94,1213,226,194,93,2671,2
1768,2817,25,15,210,23,1392,212,207,129,2579,2
1769,3294,83,17,365,60,3724,241,208,91,1634,7
1770,3251,71,13,247,17,3607,234,214,110,1753,7
1771,3140,183,5,30,3,2224,221,243,157,2701,7
1772,3137,50,4,0,0,2047,221,231,146,2568,7
1773,2834,98,24,420,181,424,251,198,61,1774,5
1774,2778,89,25,300,122,306,248,192,58,1770,5
1775,2708,82,21,120,69,134,244,197,73,1779,5
1776,3304,87,16,391,70,3760,242,212,96,1608,7
1777,3248,69,10,212,14,3583,231,221,122,1786,7
1778,3201,95,17,0,0,2940,245,213,91,2442,7
1779,3138,171,5,0,0,2289,223,242,154,2727,7
1780,3126,52,10,30,0,1936,226,218,125,2461,7
1781,3319,86,11,450,85,3787,236,222,117,1554,7
1782,3175,93,9,30,-3,2826,234,227,125,2564,7
1783,3137,232,3,30,0,2236,215,242,164,2662,7
1784,2784,69,23,306,137,323,237,188,69,1710,5
1785,2714,70,24,134,70,150,237,186,67,1719,5
1786,2702,71,22,108,55,120,238,190,71,1723,5
1787,3139,327,5,60,1,2183,208,234,165,2597,7
1788,2807,8,19,0,0,1507,194,198,137,2389,1
1789,3319,97,10,450,85,3737,237,225,119,1565,7
1790,3123,77,9,134,-7,1900,232,224,125,2355,2
1791,2897,90,20,582,244,598,246,205,80,1672,5
1792,2763,58,22,240,121,242,230,187,79,1652,5
1793,2712,69,26,120,62,124,237,181,60,1663,5
1794,2698,73,26,90,60,95,239,180,55,1667,5
1795,3260,31,15,30,0,5775,215,207,125,642,1
1796,3377,280,18,277,109,5256,168,239,209,778,1
1797,3249,300,5,0,0,4412,205,238,172,553,1
1798,3322,107,6,480,88,3728,230,233,137,1543,7
1799,3241,25,7,0,0,3403,217,225,145,2012,1
1800,2868,332,17,60,23,1718,177,215,176,2613,2
1801,2848,94,20,457,138,488,247,205,78,1597,5
1802,2736,73,29,162,98,175,239,172,44,1600,5
1803,2931,283,26,778,554,854,138,230,227,2642,2
1804,3341,299,12,272,73,5343,186,235,189,939,1
1805,3193,53,12,42,-4,2678,227,213,118,2762,7
1806,3244,88,9,150,35,3065,234,226,124,2383,1
1807,3192,96,11,30,-5,2685,238,224,115,2767,7
1808,2708,84,29,108,40,120,246,176,38,1549,5
1809,2552,4,19,60,24,792,191,199,142,1181,5
1810,2556,334,21,85,28,819,168,208,176,1155,5
1811,3163,20,10,60,-2,2489,213,218,141,2704,1
1812,2693,78,29,67,25,95,242,174,40,1524,5
1813,2566,326,11,256,87,755,193,228,175,1332,5
1814,2577,323,10,150,58,875,194,230,175,1159,5
1815,3273,5,9,180,35,3254,209,223,152,2219,1
1816,2959,2,9,721,186,1008,208,224,153,2555,2
1817,2675,42,13,60,14,1110,222,211,122,1560,2
1818,2553,235,17,351,95,780,198,253,199,1410,3
1819,2570,345,12,124,42,859,196,221,163,1222,5
1820,2011,344,17,313,29,404,183,211,164,300,3
1821,2749,86,30,95,39,201,247,176,36,1451,5
1822,2718,73,27,42,8,150,239,177,51,1460,2
1823,2885,61,27,384,103,1243,231,174,60,2100,2
1824,2022,24,13,391,42,509,212,212,134,421,3
1825,2038,50,17,408,71,474,226,200,102,283,3
1826,2902,54,23,391,120,1282,227,184,78,2130,2
1827,2018,341,27,351,34,390,152,188,168,190,3
1828,3309,268,7,618,28,3711,202,243,179,1342,1
1829,3349,66,11,408,59,3512,231,217,117,1643,7
1830,2926,87,17,525,155,677,242,210,92,1412,2
1831,2856,57,22,351,99,474,229,189,82,1383,5
1832,3293,308,17,120,34,3193,172,227,195,2192,1
1833,3074,108,6,60,-1,1811,231,233,136,1996,1
1834,2839,75,20,285,82,430,239,199,82,1350,5
1835,2820,75,17,228,72,376,238,206,93,1350,5
1836,2836,14,18,30,11,1549,201,200,133,2704,2
1837,2074,348,18,499,107,566,183,208,161,1917,3
1838,3313,285,8,636,32,3645,198,240,182,1396,1
1839,3068,111,8,319,9,1218,234,231,129,1565,2
1840,2902,87,15,417,131,607,241,215,100,1337,2
1841,2862,91,21,319,95,497,247,203,76,1323,5
1842,2840,92,19,277,83,443,246,207,82,1320,5
1843,3278,84,10,85,14,4186,234,224,121,808,1
1844,3048,124,10,446,-9,1077,238,233,125,1463,2
1845,2883,104,20,350,112,564,249,211,82,1299,5
1846,2849,100,20,277,82,484,248,209,80,1291,5
1847,2703,47,24,108,64,120,220,179,80,1348,5
1848,2988,29,18,404,145,1978,211,197,117,2818,2
1849,2089,41,19,424,81,510,219,194,103,350,3
1850,3336,293,13,564,14,3523,184,237,193,1530,1
1851,3354,292,18,510,32,3486,168,234,205,1583,1
1852,3094,107,7,30,-2,2093,233,232,131,2148,1
1853,3077,123,5,30,-3,1959,228,236,142,2029,1
1854,2820,96,16,192,63,426,244,216,97,1260,5
1855,2812,95,17,170,55,404,245,212,90,1261,5
1856,2422,45,11,85,13,631,223,215,125,1320,2
1857,2018,303,24,60,23,120,145,220,211,228,3
1858,2102,33,12,382,94,480,218,214,131,342,3
1859,3341,92,20,360,19,3372,246,205,79,1731,7
1860,3331,81,14,330,41,3355,238,214,104,1758,7
1861,3313,326,3,175,40,3073,211,235,163,2258,7
1862,2864,115,21,295,93,566,250,215,83,1236,5
1863,2196,106,16,192,60,469,246,219,97,1230,5
1864,2729,36,18,95,8,162,216,198,112,1282,5
1865,2720,57,25,124,3,134,228,180,71,1290,5
1866,2974,340,14,319,41,1572,190,219,167,2524,2
1867,3003,339,14,228,93,1879,190,219,168,2696,2
1868,2446,23,8,0,0,443,216,223,144,837,6
1869,2025,288,26,67,30,120,140,227,223,256,3
1870,2097,23,16,408,89,516,209,204,128,342,3
1871,2121,345,29,564,113,671,150,181,161,365,3
1872,2121,28,26,571,160,680,200,173,97,306,3
1873,2020,74,18,301,59,430,239,202,88,67,3
1874,2858,117,21,283,87,582,251,216,83,1206,5
1875,2044,276,25,108,49,153,144,236,227,277,3
1876,2047,31,21,216,54,272,210,190,109,277,3
1877,2718,71,29,124,70,134,237,170,43,1243,5
1878,2701,72,31,95,53,108,237,163,34,1254,5
1879,2917,290,17,335,115,1624,169,235,205,2534,2
1880,2508,20,21,0,0,859,201,192,121,1651,6
1881,2437,349,12,30,4,997,198,220,161,1455,6
1882,2050,3,13,201,54,297,201,214,149,309,3
1883,3345,198,2,0,0,5114,218,240,158,871,1
1884,3292,82,9,127,15,4133,233,225,124,914,1
1885,3218,67,17,60,22,2711,235,203,94,2711,1
1886,3154,102,17,67,10,2608,246,215,91,2522,1
1887,2744,288,3,95,6,228,211,239,166,1187,5
1888,2515,323,24,42,15,866,152,208,191,350,6
1889,2533,322,29,85,36,828,134,197,196,323,6
1890,2092,262,17,309,84,417,176,246,208,242,3
1891,2160,349,12,532,158,636,197,219,160,361,3
1892,2922,272,31,799,547,875,123,231,238,2136,2
1893,3003,328,16,408,93,1624,180,220,179,2419,2
1894,2475,352,16,0,0,541,191,211,157,847,6
1895,2455,121,18,0,0,1154,248,223,96,1556,6
1896,2447,2,8,0,0,1095,209,225,154,1537,6
1897,3095,345,11,127,19,1914,199,223,163,1848,6
1898,2743,270,1,127,2,240,216,238,160,1129,5
1899,2724,95,26,120,72,150,250,192,54,1159,5
1900,2525,337,17,30,9,949,180,213,172,450,6
1901,2551,324,27,108,49,891,141,199,192,390,6
1902,2597,321,28,192,105,806,136,199,196,361,6
1903,2604,31,21,319,125,703,210,190,109,379,2
1904,2532,44,21,30,8,953,220,189,95,1583,6
1905,2530,307,20,60,12,994,161,224,201,1626,6
1906,2598,274,24,210,80,1074,150,238,224,1706,6
1907,2090,0,29,201,82,309,165,173,134,190,3
1908,2092,352,27,228,84,335,164,183,150,182,3
1909,2167,320,16,488,165,589,178,224,185,300,3
1910,2125,64,27,543,164,607,233,173,55,342,3
1911,2173,50,28,124,100,212,219,167,64,552,3
1912,3326,310,12,30,7,2980,186,231,185,2173,7
1913,3342,71,13,90,19,2902,234,214,110,2309,7
1914,3328,73,11,30,5,2873,233,218,115,2364,7
1915,3098,75,9,30,7,2103,232,223,123,1965,1
1916,2706,93,29,108,54,120,247,179,40,1115,5
1917,2822,347,24,228,50,1560,168,195,160,1645,2
1918,2581,308,25,170,76,912,142,215,208,437,6
1919,2494,331,12,0,0,626,192,225,172,886,6
1920,2092,59,25,90,28,150,230,178,66,503,3
1921,2008,226,32,30,12,108,161,250,210,295,3
1922,2119,26,35,437,158,474,181,143,76,309,3
1923,3371,60,34,240,31,3144,224,150,32,1899,7
1924,3328,21,7,90,6,3055,215,224,146,2028,7
1925,2879,43,23,218,97,1613,217,184,91,1914,2
1926,2591,122,26,85,43,1114,253,210,67,658,3
1927,2503,26,15,30,9,648,212,205,127,875,6
1928,2589,308,24,150,71,1116,146,217,207,1598,6
1929,2600,302,24,180,82,1132,147,221,211,1615,6
1930,2113,251,33,150,105,247,131,241,235,127,3
1931,2088,66,33,313,131,351,231,156,31,301,3
1932,3404,4,15,285,64,3158,200,211,147,1864,7
1933,3336,76,13,85,13,2835,236,216,109,2362,7
1934,3051,113,9,525,-13,1356,236,231,126,1296,2
1935,2725,77,24,150,75,150,242,187,62,1048,5
1936,2552,11,15,0,0,1075,203,207,139,1492,6
1937,2493,345,28,60,18,1158,155,184,161,1690,6
1938,2170,334,26,379,168,481,153,196,177,162,3
1939,3359,303,16,127,36,2872,173,230,197,2268,7
1940,2740,68,20,182,90,182,236,197,84,1008,5
1941,2729,69,24,153,79,153,237,185,66,1020,5
1942,2702,58,27,95,68,95,227,172,61,1047,5
1943,2829,35,21,376,75,1651,212,188,103,1528,2
1944,2543,338,8,30,2,1120,202,228,165,624,2
1945,2645,313,17,319,143,895,172,225,192,510,6
1946,2651,328,15,339,151,876,184,222,177,511,6
1947,2522,54,19,60,22,700,227,195,93,882,6
1948,2172,325,20,313,170,420,167,214,185,95,3
1949,3331,50,8,120,8,2754,224,222,132,2442,7
1950,2027,272,37,60,26,150,100,222,246,180,3
1951,2161,113,32,458,142,524,254,188,34,390,3
1952,3344,60,16,162,21,2758,231,205,102,2402,7
1953,3261,100,20,192,47,2592,249,208,78,2726,1
1954,2847,291,36,743,354,934,101,209,236,1879,2
1955,2611,312,25,182,83,1061,145,213,204,598,6
1956,2621,320,25,212,98,1040,148,207,195,589,6
1957,2656,20,20,450,129,797,202,193,121,644,2
1958,2527,36,16,0,0,765,217,203,117,942,6
1959,2223,294,21,212,151,108,156,230,212,511,3
1960,3346,289,11,513,78,3288,190,239,189,1677,1
1961,3384,73,25,180,44,3008,240,183,59,2006,7
1962,3046,84,9,618,-19,1384,233,225,125,1188,2
1963,2870,95,18,306,74,819,246,210,86,874,2
1964,2704,63,23,85,47,95,233,186,73,999,5
1965,3018,197,6,711,93,2123,218,246,163,2588,2
1966,2890,315,7,342,91,1595,201,234,172,1869,2
1967,2092,270,29,150,90,270,131,234,235,85,1
1968,2110,54,25,342,150,390,225,177,71,466,3
1969,3208,104,14,30,5,2455,243,221,104,2647,1
1970,2916,106,19,451,120,972,249,213,84,899,2
1971,2709,71,22,108,52,108,238,192,74,973,5
1972,3011,180,6,573,92,1982,223,244,156,2698,2
1973,2964,97,14,361,86,1704,242,219,104,2856,2
1974,2813,80,30,339,152,1691,243,173,38,1517,2
1975,2641,312,26,210,82,1084,142,211,205,648,6
1976,2694,339,22,420,184,957,166,202,171,633,6
1977,2544,39,17,0,0,824,218,199,111,979,6
1978,2594,80,19,268,72,1348,241,202,84,1550,2
1979,2206,65,33,210,144,201,229,155,31,361,3
1980,2175,303,31,270,173,391,120,208,220,108,3
1981,2194,170,24,300,175,481,229,242,130,175,3
1982,2132,73,27,365,172,408,239,179,53,488,3
1983,2699,76,24,108,50,108,241,186,61,966,5
1984,2611,296,28,120,52,1167,130,218,222,702,6
1985,2639,306,27,180,80,1126,136,213,212,684,6
1986,2671,320,26,270,112,1068,145,205,196,666,6
1987,2557,51,20,42,13,849,225,192,93,977,6
1988,2000,318,7,30,4,108,201,234,172,268,4
1989,2162,166,33,277,143,543,226,230,107,242,3
1990,3352,339,7,42,3,2790,204,230,164,2255,7
1991,2746,64,22,212,89,216,234,189,76,875,5
1992,2714,102,21,150,65,150,242,196,75,924,5
1993,2999,155,8,636,113,1731,230,241,144,2097,2
1994,3008,197,7,591,83,1996,218,246,163,2591,2
1995,2633,285,26,153,74,1168,139,229,226,721,6
1996,2510,323,21,30,12,1454,163,214,188,1752,6
1997,2003,355,6,0,0,127,211,230,157,283,4
1998,2337,170,32,247,124,547,223,234,116,258,3
1999,3356,21,7,0,0,2802,215,224,146,2222,7
2000,3374,294,15,134,32,2713,178,236,197,2347,7
2001,3359,102,16,247,29,2646,245,217,95,6763,7
2002,3352,100,13,277,26,2630,241,222,110,2475,7
2003,2822,104,19,90,26,646,248,214,87,721,2
2004,2764,61,24,255,107,258,231,183,72,834,5
2005,2752,63,24,234,95,234,233,183,69,849,5
2006,2584,306,20,60,16,1273,162,224,201,792,6
2007,2595,296,24,85,28,1252,144,224,216,780,6
2008,2765,339,25,402,71,1116,158,194,170,1092,2
2009,2529,319,25,60,31,1438,146,207,196,1758,6
2010,2538,318,27,85,37,1410,140,204,199,1782,6
2011,2223,287,6,301,26,30,202,240,177,361,3
2012,2004,47,8,0,0,150,223,223,135,300,4
2013,2129,197,33,242,110,598,191,245,164,324,3
2014,2151,177,23,295,134,481,224,245,140,430,3
2015,2077,99,26,285,117,331,252,194,54,518,3
2016,3379,180,0,175,37,2672,219,238,157,2388,7
2017,2786,43,10,285,7,324,222,217,129,778,5
2018,2992,227,16,607,106,1434,195,253,192,1852,6
2019,2683,296,28,256,124,1158,131,219,222,760,6
2020,2726,308,27,342,167,1107,137,212,210,751,6
2021,2751,317,22,430,192,1061,155,214,196,752,6
2022,2519,318,22,30,11,1505,157,214,194,1692,6
2023,2572,320,28,124,-40,1369,137,201,197,1814,6
2024,2588,36,15,30,10,1262,218,207,121,1914,5
2025,2026,343,25,42,19,108,160,192,165,391,3
2026,2006,73,11,0,0,170,233,218,115,319,4
2027,2026,271,34,60,23,212,114,228,242,277,3
2028,3379,280,11,408,3,3055,191,241,190,1910,1
2029,3364,358,6,30,4,2736,211,229,156,2281,7
2030,3366,305,10,90,13,2700,194,235,181,2330,7
2031,3365,98,17,240,26,2613,246,213,90,2455,7
2032,3344,100,11,323,74,2563,238,226,118,2531,7
2033,3330,100,18,283,65,2531,247,212,87,2583,7
2034,2707,87,23,134,71,150,247,195,64,872,5
2035,2770,325,24,466,211,1073,154,206,189,785,6
2036,2582,30,19,42,14,972,211,196,115,1012,6
2037,2589,333,13,30,5,1224,190,223,172,1950,5
2038,2024,323,31,30,22,85,127,190,194,458,3
2039,2006,79,16,0,0,192,240,209,95,339,4
2040,3366,352,5,30,2,2713,211,231,158,2298,7
2041,3377,257,5,150,27,2640,208,243,173,2396,7
2042,3374,93,13,210,29,2605,241,219,106,2446,7
2043,3293,118,24,190,39,2460,252,211,73,2676,7
2044,2793,51,6,272,5,384,223,227,139,711,5
2045,2791,75,7,301,6,360,229,226,130,726,5
2046,2969,167,13,228,67,1622,231,244,143,2735,2
2047,2637,302,27,150,69,1279,135,215,216,845,6
2048,2651,297,32,180,84,1260,115,211,227,837,6
2049,2685,299,29,240,126,1224,128,215,221,824,6
2050,2607,35,15,30,14,1317,217,206,121,1857,5
2051,2041,327,33,60,43,108,122,182,189,474,3
2052,2010,70,23,0,0,212,238,188,69,361,4
2053,2107,155,41,120,88,470,229,205,63,285,3
2054,2070,181,28,134,51,579,216,244,142,342,3
2055,2051,107,24,180,91,228,252,203,64,420,2
2056,3341,271,13,424,73,3167,184,244,199,1809,1
2057,3251,106,9,67,8,2375,235,229,125,2795,7
2058,2821,115,12,162,25,752,240,228,117,607,2
2059,2827,89,23,268,123,270,247,197,66,750,5
2060,2750,87,25,240,118,240,247,191,58,768,5
2061,2787,323,26,450,228,1140,146,203,192,842,6
2062,2596,34,24,30,16,1036,208,180,97,947,6
2063,2616,343,21,60,3,1384,173,204,166,1790,6
2064,2617,9,16,30,4,1358,201,207,141,1816,5
2065,2622,332,26,108,38,1207,150,196,180,1973,6
2066,2009,348,13,30,7,67,196,219,161,671,3
2067,2006,53,12,0,0,255,227,215,120,366,4
2068,2016,116,28,120,56,162,254,200,53,361,3
2069,3372,28,5,0,0,2704,218,230,148,2287,7
2070,3360,108,18,247,11,2539,248,215,88,2505,7
2071,2812,321,7,108,14,592,203,234,170,582,2
2072,2803,58,4,228,7,450,223,230,143,631,5
2073,2793,75,11,313,3,360,234,218,115,674,5
2074,2764,87,23,270,132,270,246,196,67,726,5
2075,2695,94,27,120,64,120,250,188,48,828,5
2076,2980,174,4,525,59,2118,222,242,155,2227,2
2077,2654,302,29,153,74,1326,130,213,217,902,6
2078,2725,60,20,124,31,1357,231,195,88,1050,2
2079,2622,331,24,90,9,1425,155,202,182,1749,6
2080,2005,29,6,0,0,297,218,226,144,376,4
2081,2028,136,30,175,76,212,250,212,67,424,3
2082,3367,116,16,228,14,2532,246,223,100,2497,7
2083,3299,92,27,162,29,2398,250,188,49,2697,7
2084,3261,82,15,95,7,2352,240,212,98,2773,7
2085,2795,81,12,323,4,360,237,218,110,649,5
2086,2693,100,29,120,62,120,252,187,41,807,5
2087,2768,301,30,365,209,1235,124,211,221,900,6
2088,2808,311,27,454,249,1194,138,210,207,902,6
2089,2635,26,21,30,16,1390,204,188,113,1786,6
2090,2013,58,23,0,0,319,230,186,78,402,4
2091,2027,196,20,42,10,592,211,252,167,402,3
2092,2062,259,21,95,35,497,166,247,216,469,3
2093,2032,120,33,190,79,228,254,193,38,459,3
2094,3378,37,5,0,0,2678,220,229,146,2301,7
2095,3361,122,17,242,5,2508,247,224,99,2514,7
2096,3320,104,15,170,37,2405,245,219,99,2663,7
2097,3312,97,20,150,29,2388,248,208,80,2688,7
2098,3237,69,18,124,47,2089,236,203,92,2366,1
2099,3172,44,14,30,5,1959,222,210,119,2103,1
2100,2806,63,7,283,10,420,226,226,134,592,5
2101,2707,102,30,150,76,150,253,187,40,765,5
2102,2641,292,27,124,45,1410,133,222,224,977,6
2103,2778,301,30,371,219,1262,124,211,221,930,6
2104,2651,17,28,120,62,1116,185,169,108,874,2
2105,2645,31,30,90,56,1120,197,162,84,866,6
2106,2646,31,22,30,17,1406,208,186,105,1772,6
2107,2669,332,27,175,76,1237,149,196,180,1959,6
2108,2035,323,23,95,32,150,154,209,191,716,3
2109,2008,36,2,0,0,361,219,234,152,418,4
2110,2093,247,23,127,64,402,164,250,218,552,3
2111,3365,102,16,218,1,2502,245,218,98,2508,7
2112,3266,67,14,67,1,2300,233,211,107,2805,7
2113,2807,12,9,190,9,720,211,221,147,480,2
2114,2809,49,5,277,11,450,222,229,142,551,5
2115,2794,100,16,342,162,360,245,216,96,600,5
2116,2784,105,21,313,152,330,250,210,79,618,5
2117,2760,108,23,256,128,270,252,207,71,658,5
2118,2748,107,24,228,116,240,252,203,64,679,5
2119,2900,127,11,30,-1,1384,239,232,122,2524,1
2120,2742,297,29,295,168,1333,127,216,223,967,6
2121,2786,298,29,379,222,1288,128,216,222,960,6
2122,2800,300,27,408,241,1275,136,218,217,960,6
2123,2541,330,11,0,0,1705,193,226,172,1473,6
2124,2647,341,22,30,9,1374,167,200,168,1811,6
2125,2716,322,23,319,139,1146,154,209,192,2084,6
2126,2045,313,23,124,40,170,152,216,201,732,3
2127,2023,83,29,30,15,361,245,176,0,457,4
2128,2011,58,9,0,0,382,227,222,129,446,4
2129,2013,256,16,0,0,404,181,248,204,437,3
2130,2021,342,16,30,2,576,185,214,167,437,4
2131,1974,125,22,85,21,124,250,219,86,390,3
2132,3389,65,13,85,11,2674,232,214,112,2295,7
2133,3317,101,14,127,24,2355,242,221,106,2696,7
2134,3273,0,9,190,37,2135,206,222,154,2560,1
2135,2792,104,18,335,160,360,248,214,88,576,5
2136,2681,99,29,108,49,120,252,187,42,750,5
2137,2832,41,17,85,12,1170,219,200,110,2295,1
2138,2548,318,18,0,0,1719,169,221,190,1456,6
2139,2688,333,26,150,75,1298,152,197,179,1907,6
2140,2714,330,25,270,127,1209,151,200,183,2017,6
2141,2721,331,25,300,137,1188,153,200,181,2045,6
2142,2728,330,23,323,-24,1167,158,204,182,2072,6
2143,2037,29,24,0,0,582,204,182,104,485,4
2144,2061,242,36,67,32,408,129,241,232,576,3
2145,3322,98,11,127,22,2347,238,224,115,2689,7
2146,3289,81,17,42,6,2280,241,207,90,2787,7
2147,2798,121,16,361,0,391,246,225,103,534,5
2148,2682,62,22,124,40,1706,232,188,77,1215,2
2149,2636,5,15,0,0,1614,200,210,146,1140,2
2150,2812,279,25,430,245,1328,146,234,224,1020,6
2151,2693,349,23,201,104,1201,171,195,158,808,2
2152,2651,28,29,42,21,1230,195,164,90,755,6
2153,2583,298,31,67,42,1682,118,211,225,1492,6
2154,2601,297,31,95,65,1657,119,212,225,1518,6
2155,2630,299,29,153,95,1606,127,214,221,1571,6
2156,2671,309,26,120,42,1531,141,213,208,1650,6
2157,2124,279,19,242,122,295,165,239,212,638,3
2158,2025,33,19,42,9,424,213,195,111,503,4
2159,2022,19,14,30,6,446,209,210,136,495,4
2160,2018,27,9,0,0,467,217,221,140,488,4
2161,2014,59,4,0,0,488,223,231,143,484,4
2162,2034,55,22,30,180,547,228,188,83,524,4
2163,2025,51,9,30,-1,518,225,220,128,537,4
2164,2023,229,4,0,0,488,213,244,168,551,4
2165,3390,59,10,124,12,2610,228,219,124,2357,7
2166,3383,350,5,150,5,2529,210,231,159,2447,7
2167,3291,78,15,30,8,2255,238,212,102,2804,7
2168,2801,153,12,342,3,450,234,240,135,474,5
2169,2762,106,22,270,130,300,251,208,74,573,5
2170,2751,103,22,240,119,270,250,206,73,595,5
2171,2917,130,4,150,35,1177,226,237,145,2359,2
2172,2791,102,30,524,247,1253,253,186,37,957,2
2173,2649,16,24,0,0,1273,192,183,119,721,6
2174,2622,288,26,134,86,1648,139,228,224,1530,6
2175,2685,25,19,30,15,1476,207,196,120,1718,6
2176,2022,302,29,30,17,85,129,213,218,780,3
2177,2037,309,29,60,34,108,130,207,211,769,3
2178,2126,291,18,268,119,323,167,234,206,661,3
2179,2034,35,21,67,18,446,213,189,104,532,4
2180,2030,18,18,42,12,467,203,199,128,524,4
2181,2020,358,25,0,0,531,174,186,143,511,4
2182,2028,22,12,30,5,484,212,214,137,577,4
2183,2027,349,4,0,0,454,213,233,158,592,3
2184,2028,258,16,0,0,424,181,248,206,607,3
2185,2069,258,38,60,41,365,105,230,245,642,3
2186,1889,353,30,95,39,67,153,172,146,600,6
2187,3415,70,6,212,37,2673,226,229,137,2291,1
2188,2769,114,20,300,137,330,250,215,83,531,5
2189,2799,214,30,330,104,1384,178,251,193,1390,2
2190,2914,227,10,240,28,1852,206,250,180,1710,5
2191,2692,29,25,124,62,1277,202,177,100,706,6
2192,2686,23,26,95,56,1283,195,176,107,700,6
2193,2664,23,28,30,15,1302,191,168,100,691,6
2194,2769,6,12,162,62,1570,205,216,148,997,2
2195,2699,6,15,60,29,1518,201,210,145,1678,6
2196,2753,334,27,216,-18,1273,149,194,178,1984,6
2197,2059,340,18,95,56,150,178,210,169,731,3
2198,2040,358,24,60,22,509,176,188,144,547,4
2199,2036,39,16,42,9,481,219,203,114,604,4
2200,2032,31,10,30,5,451,218,218,135,618,4
2201,1905,19,27,134,58,120,188,171,108,636,6
2202,3312,86,13,60,12,2256,239,217,107,2766,7
2203,3100,77,9,323,-82,1565,232,224,125,1302,1
2204,2782,115,15,342,78,391,244,225,106,467,5
2205,2721,102,25,182,89,212,252,200,61,607,5
2206,2912,252,10,210,26,1871,197,247,188,1687,5
2207,2895,122,14,150,6,1092,243,228,110,2284,2
2208,2734,5,25,255,118,1291,179,183,134,725,2
